Lokasi,Komoditas,Januari 2018,Februari 2018,Maret 2018,April 2018,Mei 2018,Juni 2018,Juli 2018,Agustus 2018,September 2018,Oktober 2018,November 2018,Desember 2018,Januari 2019,Februari 2019,Maret 2019,April 2019,Mei 2019,Juni 2019,Juli 2019,Agustus 2019,September 2019,Oktober 2019,November 2019,Desember 2019,Januari 2020,Februari 2020,Maret 2020,April 2020,Mei 2020,Juni 2020,Juli 2020,Agustus 2020,September 2020,Oktober 2020,November 2020,Desember 2020,Januari 2021,Februari 2021,Maret 2021,April 2021,Mei 2021,Juni 2021,Juli 2021,Agustus 2021,September 2021,Oktober 2021,November 2021,Desember 2021,Januari 2022,Februari 2022,Maret 2022,April 2022,Mei 2022,Juni 2022,Juli 2022,Agustus 2022,September 2022,Oktober 2022,November 2022,Desember 2022,Januari 2023,Februari 2023,Maret 2023,April 2023,Mei 2023,Juni 2023
Kalimantan Selatan,Daging Ayam Ras,28763.04,26025,,28004.76,31528.57,31733.33,31083.33,,27975,30975,27415.91,29653.33,32427.27,30757.14,28745,31050,33500,29327.78,29505.77,27968.42,,24745.35,34229.17,30355,30665.08,33158.75,37035.58,27946.97,34903.57,47959.78,44050,37565.12,34959.38,38862.82,44702.38,40230.56,40770.97,37122.73,35888.64,34221.74,39165.79,41320.45,39141.3,35222.5,38113.64,42200,40636.96,37272.92,38014.29,38700,36959.09,37697.5,39158.33,40844.87,36461.9,35023.91,35165.91,37216.67,36443.18,36475,36519.05,36932.5,36102.38,35097.37,37269.05,38573.53
Kalimantan Timur,Daging Ayam Ras,29178.26,27000,,30204.76,34835.71,35285.71,30700,38000,27987.5,30287.5,26165.91,30103.57,31027.27,27392.86,28047.5,30150,29000,28280,29063.04,27832.35,,28680.43,30483.33,30028.57,27964.71,30521.21,27869.74,23290,27328.26,33723.91,31213.04,25618.18,24830,25745.24,30823.81,28732.5,27652.5,31168.42,28813.64,27625,29984.21,31883.33,29150,25832.5,28811.36,32475,32745.45,30385.42,30883.33,31436.11,30506.82,31687.5,30291.67,33400,31490.48,30002.17,30204.55,33433.33,34354.55,34488.64,34166.67,34815,34959.52,34765.79,35890.48,38023.53
Kalimantan Utara,Daging Ayam Ras,41065.22,38000,,40404.76,39642.86,40833.33,47766.67,51500,43750,43000,39431.82,42625,49363.64,42111.11,39125,42000,43500,42156.25,41532.61,42985.29,,36228.26,39619.05,46214.29,38156.25,41727.27,39710.53,30883.33,35833.33,43195.65,46695.65,38079.55,38106.25,36035.71,37309.52,41578.95,34550,40157.89,43738.64,42000,44236.84,45916.67,44023.81,38400,42863.64,40925,46590.91,45782.61,44476.19,45305.56,45579.55,43512.5,46158.33,49461.54,46440.48,41532.61,45261.36,42571.43,43625,48102.27,48697.62,46655,45307.14,46402.63,44580.95,53961.76
Sulawesi Utara,Daging Ayam Ras,28130.43,27000,,27380.95,30428.57,34857.14,34281.25,35500,34250,29375,32250,37066.67,33886.36,31781.25,30912.5,33000,34000,36187.5,32826.09,33558.82,,31000,31380.95,33428.57,30735.29,31227.27,29210.53,25775,25380.43,30489.13,33489.13,30045.45,28350,30130.95,32428.57,35125,35500,35578.95,31829.55,34226.19,33881.58,33535.71,33642.86,31160,29659.09,32725,32443.18,32989.13,31083.33,32194.44,31488.64,32912.5,35558.33,33634.62,34328.57,33928.26,31902.27,29202.38,30102.27,32477.27,31785.71,30280,29952.38,30907.89,30916.67,32014.71
Sulawesi Tengah,Daging Ayam Ras,25478.26,25250,,27095.24,30514.29,29000,31671.88,,26625,20000,30397.73,33232.14,33136.36,31750,25257.5,28000,,28068.75,28026.09,28679.41,,25623.91,26623.81,28162.5,30448.53,30575.76,25339.47,23883.33,23921.74,28445.65,30473.91,29484.09,28487.5,29807.14,30542.86,31437.5,33660,28323.68,28106.82,31188.1,32113.16,29633.33,29502.38,28067.5,29759.09,29545,32977.27,33293.48,35192.86,33886.11,32131.82,33487.5,36658.33,35447.44,32742.86,31017.39,30997.73,30514.29,31372.73,34138.64,34828.57,33355,31769.05,35847.37,33928.57,36552.94
Sulawesi Selatan,Daging Ayam Ras,25139.13,24750,,25221.43,27757.14,29916.67,31996.88,,30075,26400,29279.55,30933.33,29415.91,25443.75,24195,25200,,28906.25,25991.3,26397.5,,26287.88,28742,29025,25939.71,23856.06,24014.47,23000,25026.19,31943.18,31273.91,25230.95,24647.5,27390.91,28430.95,29172.5,27532.5,26584.21,26293.18,27700,30800,30514.29,26552.38,24710,25525,27762.5,28031.82,26667.39,30078.57,31594.44,30784.09,33204.76,35995,30891.03,31580.95,26669.57,26590.91,25633.33,26836.36,27345.45,27990.48,26185,26797.62,28394.74,29335.71,32444.12
Sulawesi Tenggara,Daging Ayam Ras,32071.74,31950,,35121.43,35642.86,37912.5,36609.38,38850,38912.5,38925,36547.73,38813.33,32188.64,29822.22,29047.5,33950,,33314.29,32739.13,33003.13,,31620.83,33773.81,34100,29985.29,29589.39,29539.47,30701.67,35852.38,35804.35,36406.52,38006.82,34000,34566.67,34795.24,35685,32830,33755.26,34200,35071.43,37766.67,36452.38,35657.14,34492.5,34606.82,34887.5,35884.09,34621.74,35161.9,34691.67,33877.27,35850,39250,42373.08,42380.95,40071.74,39534.09,39673.81,40015.91,40056.82,40233.33,40070,40228.57,41678.95,37885.71,40347.06
Gorontalo,Daging Ayam Ras,31108.7,28000,,28428.57,32000,33428.57,34000,36000,34000,34000,34000,35333.33,34681.82,34000,34000,34000,,35125,32206.52,33263.89,,27280,28523.81,34000,28352.94,31000,31000,29800,26750,30869.57,31282.61,30500,26175,28625,29226.19,29812.5,28687.5,29210.53,27736.36,28397.62,28333.33,27107.14,28533.33,28750,28222.73,29375,28068.18,30163.04,29404.76,31388.89,31263.64,31702.5,33333.33,31762.82,32380.95,33532.61,32045.45,30761.9,30113.64,30000,29880.95,27500,28309.52,28573.68,27952.38,27426.47
Sulawesi Barat,Daging Ayam Ras,24000,24000,,23333.33,24857.14,27142.86,30000,,30000,27500,27840.91,30000,30000,30000,28100,28000,29000,32222.22,30000,30588.24,,30108.7,31547.62,32500,30588.24,30000,30592.11,27615.63,23043.48,30000,32478.26,29090.91,25425,30000,30000,31100,32000,27368.42,24636.36,25571.43,27368.42,31619.05,31095.24,23000,21954.55,26850,25000,25000,26523.81,27000,25272.73,30450,37316.67,33974.36,29333.33,26391.3,25000,25000,25000,25272.73,30380.95,24900,25523.81,28052.63,31428.57,34000
Maluku,Daging Ayam Ras,40052.17,33000,,39157.14,38162.5,43560,48306.67,,51500,44250,41136.36,40735.71,35340.91,35000,35000,46500,46500,41305.56,43195.65,42955.88,,38851.19,39669.12,41818.75,36133.82,36000,36000,42930,41739.13,43891.3,42600,42275,41877.5,37961.9,39328.57,40950,34167.5,34934.21,35059.09,39535.71,41157.89,41223.81,39090.48,37695,36972.73,38095,39150,39628.26,41530.95,42783.33,42156.82,42455,42206.67,42823.08,42900,42150,42061.36,42445.24,41900,41945.45,40259.52,39200,39045.24,38918.42,38830.95,39561.76
Maluku Utara,Daging Ayam Ras,34897.83,36000,,37752.38,38985.71,40142.86,45703.13,43300,43525,42900,43272.73,43100,43654.55,43688.89,43300,42375,,43100,43300,43202.94,,43265.22,43185.71,39025,42601.47,42407.58,41476.32,42050,40886.96,41215.22,41913.04,41222.73,39283.75,40082.5,41661.9,39000,39000,38857.89,39000,40864.29,40818.42,40419.05,41942.86,40590,39900,39452.5,40897.73,41791.3,42678.57,43416.67,42129.55,43442.86,42860,44561.54,43116.67,41436.96,40711.36,40623.81,39418.18,40659.09,39271.43,40242.5,44080.95,46331.58,44854.76,44505.88
Papua Barat,Daging Ayam Ras,41956.52,45000,,38154.76,41428.57,43593.75,40000,,42500,40125,41590.91,43071.43,45954.55,41000,39387.5,39000,,42527.78,39304.35,38250,,37500,37619.05,37500,40000,41893.94,42243.59,38640.63,44043.48,44673.91,42500,41000,37500,37619.05,37440.48,38125,43325,40986.84,41488.64,41190.48,42839.47,42857.14,41785.71,42162.5,42500,42065,42500,42391.3,42619.05,44194.44,44034.09,44717.5,45533.33,44358.97,45000,45000,45000,44940.48,45000,44761.36,44892.86,45150,45333.33,45447.37,45619.05,45544.12
Papua,Daging Ayam Ras,42282.61,40000,,40000,40714.29,41428.57,40000,40000,40000,40000,40454.55,40000,40000,40000,40040,40000,38650,42687.5,39486.96,40694.12,,40091.3,41942.86,42142.86,41470.59,40400,40000,46381.67,49139.13,50626.09,50028.26,49090.91,51942.5,50819.05,49028.57,46975,34610,35000,36159.09,37445.45,40286.84,37614.29,37809.52,37350,36620.45,36650,36650,37108.7,37600,39830.56,37963.64,38732.5,39831.67,41284.62,40650,40363.04,39686.36,40180.95,39090.91,39856.82,40100,40667.5,39702.38,39715.79,38657.14,40164.71
